,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
111,11.0,Sat,2021-10-30,18:00,Hellas Verona,1.6,2–1,0.9,Juventus,22314.0,Stadio Marc'Antonio Bentegodi,Livio Marinelli,Match Report,
112,11.0,Sat,2021-10-30,20:45,Torino,2.1,3–0,0.2,Sampdoria,13137.0,Stadio Olimpico di Torino,Francesco Fourneau,Match Report,
113,11.0,Sun,2021-10-31,12:30,Inter,2.1,2–0,0.4,Udinese,48076.0,Stadio Giuseppe Meazza,Juan Sacchi,Match Report,
114,11.0,Sun,2021-10-31,15:00,Sassuolo,0.9,1–2,1.5,Empoli,3539.0,Stadio Città del Tricolore,Luca Massimi,Match Report,
115,11.0,Sun,2021-10-31,15:00,Fiorentina,3.3,3–0,0.1,Spezia,19511.0,Stadio Artemio Franchi,Antonio Giua,Match Report,
116,11.0,Sun,2021-10-31,15:00,Genoa,0.9,0–0,0.6,Venezia,7920.0,Stadio Comunale Luigi Ferraris,Maurizio Mariani,Match Report,
117,11.0,Sun,2021-10-31,18:00,Salernitana,0.7,0–1,1.4,Napoli,17043.0,Stadio Arechi,Michael Fabbri,Match Report,
118,11.0,Sun,2021-10-31,20:45,Roma,1.2,1–2,1.9,Milan,51001.0,Stadio Olimpico,Fabio Maresca,Match Report,
119,11.0,Mon,2021-11-01,20:45,Bologna,1.0,2–0,0.4,Cagliari,10126.0,Stadio Renato Dall'Ara,Davide Massa,Match Report,
120,,,,,,,,,,,,,,
121,12.0,Fri,2021-11-05,20:45,Empoli,0.8,2–2,1.7,Genoa,5631.0,Stadio Carlo Castellani,Luca Pairetto,Match Report,
122,12.0,Sat,2021-11-06,15:00,Spezia,0.6,1–0,0.9,Torino,6953.0,Stadio Alberto Picco,Daniele Orsato,Match Report,
123,12.0,Sat,2021-11-06,18:00,Juventus,0.7,1–0,0.5,Fiorentina,6953.0,Allianz Stadium,Simone Sozza,Match Report,
124,12.0,Sat,2021-11-06,20:45,Cagliari,0.9,1–2,2.8,Atalanta,6976.0,Sardegna Arena,Marco Piccinini,Match Report,
