,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
96,10.0,Sat,2021-10-30,18:30,Eint Frankfurt,0.6,1–1,2.8,RB Leipzig,31000.0,Commerzbank-Arena,Daniel Schlager,Match Report,
97,10.0,Sun,2021-10-31,15:30,Augsburg,2.0,4–1,0.9,Stuttgart,17500.0,WWK Arena,Patrick Ittrich,Match Report,
98,10.0,Sun,2021-10-31,17:30,M'Gladbach,1.8,2–1,1.0,Bochum,42361.0,Stadion im Borussia-Park,Tobias Reichel,Match Report,
99,,,,,,,,,,,,,,
100,11.0,Fri,2021-11-05,20:30,Mainz 05,0.9,1–1,1.8,M'Gladbach,25000.0,Opel Arena,Robert Schröder,Match Report,
101,11.0,Sat,2021-11-06,15:30,Bochum,2.3,2–0,0.6,Hoffenheim,19600.0,Vonovia Ruhrstadion,Frank Willenborg,Match Report,
102,11.0,Sat,2021-11-06,15:30,Stuttgart,0.9,0–1,1.7,Arminia,33550.0,Mercedes-Benz Arena,Christian Dingert,Match Report,
103,11.0,Sat,2021-11-06,15:30,Bayern Munich,3.5,2–1,1.1,Freiburg,75000.0,Allianz Arena,Sascha Stegemann,Match Report,
104,11.0,Sat,2021-11-06,15:30,Wolfsburg,0.8,1–0,0.6,Augsburg,16095.0,Volkswagen Arena,Marco Fritz,Match Report,
105,11.0,Sat,2021-11-06,18:30,RB Leipzig,2.4,2–1,1.2,Dortmund,43429.0,Red Bull Arena,Felix Zwayer,Match Report,
106,11.0,Sun,2021-11-07,15:30,Hertha BSC,0.9,1–1,1.0,Leverkusen,22187.0,Olympiastadion Berlin,Robert Hartmann,Match Report,
107,11.0,Sun,2021-11-07,17:30,Köln,2.1,2–2,1.1,Union Berlin,49000.0,RheinEnergieSTADION,Tobias Stieler,Match Report,
108,11.0,Sun,2021-11-07,19:30,Greuther Fürth,2.8,1–2,1.5,Eint Frankfurt,10244.0,Sportpark Ronhof Thomas Sommer,Daniel Siebert,Match Report,
109,,,,,,,,,,,,,,
110,12.0,Fri,2021-11-19,20:30,Augsburg,0.3,2–1,1.6,Bayern Munich,26000.0,WWK Arena,Daniel Siebert,Match Report,
111,12.0,Sat,2021-11-20,15:30,Hoffenheim,2.7,2–0,0.2,RB Leipzig,13233.0,PreZero Arena,Tobias Welz,Match Report,
112,12.0,Sat,2021-11-20,15:30,Dortmund,1.7,2–1,1.4,Stuttgart,57900.0,Signal Iduna Park,Harm Osmers,Match Report,
113,12.0,Sat,2021-11-20,15:30,Leverkusen,1.7,1–0,0.8,Bochum,22538.0,BayArena,Daniel Schlager,Match Report,
114,12.0,Sat,2021-11-20,15:30,Arminia,1.5,2–2,1.7,Wolfsburg,19801.0,SchücoArena,Martin Petersen,Match Report,
115,12.0,Sat,2021-11-20,15:30,M'Gladbach,2.6,4–0,0.4,Greuther Fürth,38621.0,Stadion im Borussia-Park,Benjamin Brand,Match Report,
116,12.0,Sat,2021-11-20,18:30,Union Berlin,2.0,2–0,0.5,Hertha BSC,22012.0,Stadion An der Alten Försterei,Felix Brych,Match Report,
117,12.0,Sun,2021-11-21,15:30,Freiburg,1.7,0–2,1.3,Eint Frankfurt,32500.0,Europa-Park Stadion,Florian Badstübner,Match Report,
118,12.0,Sun,2021-11-21,17:30,Mainz 05,0.9,1–1,1.7,Köln,25500.0,Opel Arena,Deniz Aytekin,Match Report,
119,,,,,,,,,,,,,,
120,13.0,Fri,2021-11-26,20:30,Stuttgart,0.4,2–1,1.0,Mainz 05,25000.0,Mercedes-Benz Arena,Matthias Jöllenbeck,Match Report,
121,13.0,Sat,2021-11-27,15:30,Hertha BSC,1.4,1–1,1.4,Augsburg,14523.0,Olympiastadion Berlin,Frank Willenborg,Match Report,
122,13.0,Sat,2021-11-27,15:30,Wolfsburg,1.4,1–3,2.2,Dortmund,13281.0,Volkswagen Arena,Sven Jablonski,Match Report,
123,13.0,Sat,2021-11-27,15:30,Bochum,1.0,2–1,2.1,Freiburg,19700.0,Vonovia Ruhrstadion,Patrick Ittrich,Match Report,
124,13.0,Sat,2021-11-27,15:30,Köln,1.7,4–1,1.1,M'Gladbach,50000.0,RheinEnergieSTADION,Robert Schröder,Match Report,
125,13.0,Sat,2021-11-27,15:30,Greuther Fürth,1.4,3–6,3.0,Hoffenheim,3385.0,Sportpark Ronhof Thomas Sommer,Bastian Dankert,Match Report,
126,13.0,Sat,2021-11-27,18:30,Bayern Munich,2.3,1–0,0.5,Arminia,12000.0,Allianz Arena,Marco Fritz,Match Report,
127,13.0,Sun,2021-11-28,15:30,Eint Frankfurt,1.9,2–1,1.3,Union Berlin,24000.0,Commerzbank-Arena,Sascha Stegemann,Match Report,
128,13.0,Sun,2021-11-28,17:30,RB Leipzig,1.6,1–3,1.8,Leverkusen,,Red Bull Arena,Benjamin Cortus,Match Report,
129,,,,,,,,,,,,,,
130,14.0,Fri,2021-12-03,20:30,Union Berlin,3.3,2–1,1.3,RB Leipzig,13506.0,Stadion An der Alten Försterei,Harm Osmers,Match Report,
131,14.0,Sat,2021-12-04,15:30,Leverkusen,2.8,7–1,0.4,Greuther Fürth,10455.0,BayArena,Tobias Reichel,Match Report,
132,14.0,Sat,2021-12-04,15:30,Arminia,1.5,1–1,1.1,Köln,8231.0,SchücoArena,Felix Brych,Match Report,
133,14.0,Sat,2021-12-04,15:30,Hoffenheim,0.9,3–2,1.7,Eint Frankfurt,,PreZero Arena,Daniel Schlager,Match Report,
134,14.0,Sat,2021-12-04,15:30,Augsburg,2.9,2–3,1.2,Bochum,,WWK Arena,Deniz Aytekin,Match Report,
135,14.0,Sat,2021-12-04,15:30,Mainz 05,1.4,3–0,0.7,Wolfsburg,10000.0,Opel Arena,Florian Badstübner,Match Report,
136,14.0,Sat,2021-12-04,18:30,Dortmund,1.1,2–3,2.0,Bayern Munich,15000.0,Signal Iduna Park,Felix Zwayer,Match Report,
137,14.0,Sun,2021-12-05,15:30,Stuttgart,1.2,2–2,1.1,Hertha BSC,395.0,Mercedes-Benz Arena,Benjamin Brand,Match Report,
138,14.0,Sun,2021-12-05,17:30,M'Gladbach,1.1,0–6,1.8,Freiburg,10025.0,Stadion im Borussia-Park,Robert Hartmann,Match Report,
139,,,,,,,,,,,,,,
140,15.0,Fri,2021-12-10,20:30,Köln,1.2,0–2,0.7,Augsburg,15000.0,RheinEnergieSTADION,Patrick Ittrich,Match Report,
141,15.0,Sat,2021-12-11,15:30,Hertha BSC,2.0,2–0,0.4,Arminia,5000.0,Olympiastadion Berlin,Tobias Welz,Match Report,
142,15.0,Sat,2021-12-11,15:30,Bayern Munich,1.9,2–1,0.8,Mainz 05,,Allianz Arena,Benjamin Cortus,Match Report,
