,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Spread,home_odds,away_odds,Opening Spread,inter_spread_1,inter_spread_2,inter_spread_3
145,17,Tue,2023-01-25,,Freiburg,,,,Eint Frankfurt,,Europa-Park Stadion,,Head-to-Head,0.0,,,-0.5,0.0,,
146,17,Tue,2023-01-24,,Hoffenheim,,,,Stuttgart,,PreZero Arena,,Head-to-Head,-0.5,,,-0.5,-0.5,,
147,17,Tue,2023-01-24,,Hertha BSC,,,,Wolfsburg,,Olympiastadion Berlin,,Head-to-Head,0.0,,,0.0,0.0,,
148,17,Tue,2023-01-24,,Schalke 04,,,,RB Leipzig,,Veltins-Arena,,Head-to-Head,1.0,,,1.0,1.0,,
149,17,Tue,2023-01-25,,Augsburg,,,,M'Gladbach,,WWK Arena,,Head-to-Head,0.25,,,0.25,0.25,,
150,17,Tue,2023-01-25,,Mainz 05,,,,Dortmund,,Opel Arena,,Head-to-Head,0.25,,,0.25,0.25,,
151,17,Tue,2023-01-24,,Bayern Munich,,,,Köln,,Allianz Arena,,Head-to-Head,-2.25,,,-2.25,-2.25,,
152,17,Tue,2023-01-25,,Leverkusen,,,,Bochum,,BayArena,,Head-to-Head,-1.25,,,-1.25,-1.25,,
153,18,Sat,2023-01-28,,Hoffenheim,,,,M'Gladbach,,PreZero Arena,,Head-to-Head,-0.5,,,-0.5,-0.5,-0.5,
154,18,Sat,2023-01-29,,Leverkusen,,,,Dortmund,,BayArena,,Head-to-Head,0.0,,,0.0,0.0,0.0,
155,18,Sat,2023-01-28,,Freiburg,,,,Augsburg,,Europa-Park Stadion,,Head-to-Head,-1.0,,,-1.0,-1.0,-1.0,
156,18,Sat,2023-01-28,,Mainz 05,,,,Bochum,,Opel Arena,,Head-to-Head,-0.75,,,-0.75,-0.75,-0.75,
157,18,Sat,2023-01-28,,Bayern Munich,,,,Eint Frankfurt,,Allianz Arena,,Head-to-Head,-1.75,,,-1.5,-1.5,-1.75,
158,18,Sat,2023-01-27,,RB Leipzig,,,,Stuttgart,,Red Bull Arena,,Head-to-Head,-1.25,,,-1.25,-1.25,-1.25,
159,18,Sat,2023-01-28,,Werder Bremen,,,,Wolfsburg,,Weserstadion,,Head-to-Head,0.25,,,0.25,0.25,0.25,
160,18,Sat,2023-01-28,,Hertha BSC,,,,Union Berlin,,Olympiastadion Berlin,,Head-to-Head,0.25,,,0.25,0.25,0.25,
161,18,Sat,2023-01-29,,Schalke 04,,,,Köln,,Veltins-Arena,,Head-to-Head,0.5,,,0.5,0.5,0.5,
162,19,Sat,2023-02-05,,Wolfsburg,,,,Bayern Munich,,Volkswagen Arena,,Head-to-Head,1.0,,,1.0,1.0,1.0,1.0
163,19,Sat,2023-02-03,,Augsburg,,,,Leverkusen,,WWK Arena,,Head-to-Head,0.5,,,0.75,0.75,0.5,0.5
164,19,Sat,2023-02-04,,Eint Frankfurt,,,,Hertha BSC,,Commerzbank-Arena,,Head-to-Head,-1.25,,,-1.0,-1.0,-1.0,-1.25
165,19,Sat,2023-02-04,,Bochum,,,,Hoffenheim,,Vonovia Ruhrstadion,,Head-to-Head,0.0,,,0.25,0.25,0.25,0.0
166,19,Sat,2023-02-04,,Köln,,,,RB Leipzig,,RheinEnergieSTADION,,Head-to-Head,0.5,,,0.5,0.5,0.5,0.5
167,19,Sat,2023-02-04,,Dortmund,,,,Freiburg,,Signal Iduna Park,,Head-to-Head,-0.75,,,-0.75,-0.75,-0.75,-0.75
168,19,Sat,2023-02-05,,Stuttgart,,,,Werder Bremen,,Mercedes-Benz Arena,,Head-to-Head,-0.5,,,-0.25,-0.25,-0.25,-0.25
169,19,Sat,2023-02-04,,Union Berlin,,,,Mainz 05,,Stadion An der Alten FÃ¶rsterei,,Head-to-Head,-0.5,,,-0.25,-0.25,-0.25,-0.5
170,19,Sat,2023-02-04,,M'Gladbach,,,,Schalke 04,,Stadion im Borussia-Park,,Head-to-Head,-1.0,,,-1.0,-1.0,-1.0,-1.0
171,20,Sat,2023-02-12,,Hertha BSC,,,,M'Gladbach,,Olympiastadion Berlin,,Head-to-Head,0.0,,,0.25,,,
172,20,Sat,2023-02-11,,Bayern Munich,,,,Bochum,,Allianz Arena,,Head-to-Head,-2.5,,,-2.5,,,
173,20,Sat,2023-02-12,,Köln,,,,Eint Frankfurt,,RheinEnergieSTADION,,Head-to-Head,0.0,,,0.0,,,
174,20,Sat,2023-02-11,,RB Leipzig,,,,Union Berlin,,Red Bull Arena,,Head-to-Head,-0.75,,,-0.75,,,
175,20,Sat,2023-02-11,,Mainz 05,,,,Augsburg,,Opel Arena,,Head-to-Head,-0.75,,,-0.75,,,
176,20,Sat,2023-02-11,,Freiburg,,,,Stuttgart,,Europa-Park Stadion,,Head-to-Head,-0.5,,,-0.75,,,
177,20,Sat,2023-02-10,,Schalke 04,,,,Wolfsburg,,Veltins-Arena,,Head-to-Head,0.5,,,0.5,,,
178,20,Sat,2023-02-11,,Hoffenheim,,,,Leverkusen,,PreZero Arena,,Head-to-Head,0.25,,,0.0,,,
179,20,Sat,2023-02-11,,Werder Bremen,,,,Dortmund,,Weserstadion,,Head-to-Head,0.75,,,0.5,,,
180,21,Sat,2023-02-17,,Augsburg,,,,Hoffenheim,,WWK Arena,,Head-to-Head,0.0,,,0.0,,,
