,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
147,15.0,Sat,2022-11-12,,Mainz 05,,,,Eint Frankfurt,,Opel Arena,,Head-to-Head,
148,15.0,Sat,2022-11-12,,Hoffenheim,,,,Wolfsburg,,PreZero Arena,,Head-to-Head,
149,,,,,,,,,,,,,,
150,16.0,Sat,2023-01-21,,Stuttgart,,,,Mainz 05,,Mercedes-Benz Arena,,Head-to-Head,
151,16.0,Sat,2023-01-21,,Union Berlin,,,,Hoffenheim,,Stadion An der Alten Försterei,,Head-to-Head,
152,16.0,Sat,2023-01-21,,Bochum,,,,Hertha BSC,,Vonovia Ruhrstadion,,Head-to-Head,
153,16.0,Sat,2023-01-21,,Köln,,,,Werder Bremen,,RheinEnergieSTADION,,Head-to-Head,
154,16.0,Sat,2023-01-21,,M'Gladbach,,,,Leverkusen,,Stadion im Borussia-Park,,Head-to-Head,
155,16.0,Sat,2023-01-21,,Dortmund,,,,Augsburg,,Signal Iduna Park,,Head-to-Head,
156,16.0,Sat,2023-01-21,,Wolfsburg,,,,Freiburg,,Volkswagen Arena,,Head-to-Head,
157,16.0,Sat,2023-01-21,,Eint Frankfurt,,,,Schalke 04,,Commerzbank-Arena,,Head-to-Head,
158,16.0,Sat,2023-01-21,,RB Leipzig,,,,Bayern Munich,,Red Bull Arena,,Head-to-Head,
159,,,,,,,,,,,,,,
160,17.0,Tue,2023-01-24,,Mainz 05,,,,Dortmund,,Opel Arena,,Head-to-Head,
161,17.0,Tue,2023-01-24,,Werder Bremen,,,,Union Berlin,,Weserstadion,,Head-to-Head,
162,17.0,Tue,2023-01-24,,Leverkusen,,,,Bochum,,BayArena,,Head-to-Head,
163,17.0,Tue,2023-01-24,,Bayern Munich,,,,Köln,,Allianz Arena,,Head-to-Head,
164,17.0,Tue,2023-01-24,,Freiburg,,,,Eint Frankfurt,,Europa-Park Stadion,,Head-to-Head,
165,17.0,Tue,2023-01-24,,Schalke 04,,,,RB Leipzig,,Veltins-Arena,,Head-to-Head,
166,17.0,Tue,2023-01-24,,Hertha BSC,,,,Wolfsburg,,Olympiastadion Berlin,,Head-to-Head,
167,17.0,Tue,2023-01-24,,Augsburg,,,,M'Gladbach,,WWK Arena,,Head-to-Head,
168,17.0,Tue,2023-01-24,,Hoffenheim,,,,Stuttgart,,PreZero Arena,,Head-to-Head,
169,,,,,,,,,,,,,,
170,18.0,Sat,2023-01-28,,Hoffenheim,,,,M'Gladbach,,PreZero Arena,,Head-to-Head,
171,18.0,Sat,2023-01-28,,Bayern Munich,,,,Eint Frankfurt,,Allianz Arena,,Head-to-Head,
172,18.0,Sat,2023-01-28,,Werder Bremen,,,,Wolfsburg,,Weserstadion,,Head-to-Head,
173,18.0,Sat,2023-01-28,,Leverkusen,,,,Dortmund,,BayArena,,Head-to-Head,
174,18.0,Sat,2023-01-28,,Schalke 04,,,,Köln,,Veltins-Arena,,Head-to-Head,
175,18.0,Sat,2023-01-28,,RB Leipzig,,,,Stuttgart,,Red Bull Arena,,Head-to-Head,
176,18.0,Sat,2023-01-28,,Hertha BSC,,,,Union Berlin,,Olympiastadion Berlin,,Head-to-Head,
177,18.0,Sat,2023-01-28,,Freiburg,,,,Augsburg,,Europa-Park Stadion,,Head-to-Head,
178,18.0,Sat,2023-01-28,,Mainz 05,,,,Bochum,,Opel Arena,,Head-to-Head,
179,,,,,,,,,,,,,,
180,19.0,Sat,2023-02-04,,Union Berlin,,,,Mainz 05,,Stadion An der Alten Försterei,,Head-to-Head,
181,19.0,Sat,2023-02-04,,Eint Frankfurt,,,,Hertha BSC,,Commerzbank-Arena,,Head-to-Head,
182,19.0,Sat,2023-02-04,,Dortmund,,,,Freiburg,,Signal Iduna Park,,Head-to-Head,
183,19.0,Sat,2023-02-04,,Augsburg,,,,Leverkusen,,WWK Arena,,Head-to-Head,
184,19.0,Sat,2023-02-04,,Stuttgart,,,,Werder Bremen,,Mercedes-Benz Arena,,Head-to-Head,
185,19.0,Sat,2023-02-04,,M'Gladbach,,,,Schalke 04,,Stadion im Borussia-Park,,Head-to-Head,
186,19.0,Sat,2023-02-04,,Wolfsburg,,,,Bayern Munich,,Volkswagen Arena,,Head-to-Head,
187,19.0,Sat,2023-02-04,,Bochum,,,,Hoffenheim,,Vonovia Ruhrstadion,,Head-to-Head,
188,19.0,Sat,2023-02-04,,Köln,,,,RB Leipzig,,RheinEnergieSTADION,,Head-to-Head,
189,,,,,,,,,,,,,,
190,20.0,Sat,2023-02-11,,Hoffenheim,,,,Leverkusen,,PreZero Arena,,Head-to-Head,
191,20.0,Sat,2023-02-11,,RB Leipzig,,,,Union Berlin,,Red Bull Arena,,Head-to-Head,
192,20.0,Sat,2023-02-11,,Bayern Munich,,,,Bochum,,Allianz Arena,,Head-to-Head,
193,20.0,Sat,2023-02-11,,Werder Bremen,,,,Dortmund,,Weserstadion,,Head-to-Head,
194,20.0,Sat,2023-02-11,,Köln,,,,Eint Frankfurt,,RheinEnergieSTADION,,Head-to-Head,
195,20.0,Sat,2023-02-11,,Hertha BSC,,,,M'Gladbach,,Olympiastadion Berlin,,Head-to-Head,
196,20.0,Sat,2023-02-11,,Freiburg,,,,Stuttgart,,Europa-Park Stadion,,Head-to-Head,
197,20.0,Sat,2023-02-11,,Mainz 05,,,,Augsburg,,Opel Arena,,Head-to-Head,
198,20.0,Sat,2023-02-11,,Schalke 04,,,,Wolfsburg,,Veltins-Arena,,Head-to-Head,
199,,,,,,,,,,,,,,
200,21.0,Sat,2023-02-18,,Eint Frankfurt,,,,Werder Bremen,,Commerzbank-Arena,,Head-to-Head,
201,21.0,Sat,2023-02-18,,Dortmund,,,,Hertha BSC,,Signal Iduna Park,,Head-to-Head,
202,21.0,Sat,2023-02-18,,Stuttgart,,,,Köln,,Mercedes-Benz Arena,,Head-to-Head,
203,21.0,Sat,2023-02-18,,Augsburg,,,,Hoffenheim,,WWK Arena,,Head-to-Head,
204,21.0,Sat,2023-02-18,,Bochum,,,,Freiburg,,Vonovia Ruhrstadion,,Head-to-Head,
205,21.0,Sat,2023-02-18,,Wolfsburg,,,,RB Leipzig,,Volkswagen Arena,,Head-to-Head,
206,21.0,Sat,2023-02-18,,Leverkusen,,,,Mainz 05,,BayArena,,Head-to-Head,
207,21.0,Sat,2023-02-18,,M'Gladbach,,,,Bayern Munich,,Stadion im Borussia-Park,,Head-to-Head,
208,21.0,Sat,2023-02-18,,Union Berlin,,,,Schalke 04,,Stadion An der Alten Försterei,,Head-to-Head,
209,,,,,,,,,,,,,,
210,22.0,Sat,2023-02-25,,Werder Bremen,,,,Bochum,,Weserstadion,,Head-to-Head,
